Date_Time	Primary Gas Concentration	Primary Gas Concentration Estado	PGA Gain	PGA Gain Estado	SO2 Reference Gain Pot	SO2 Reference Gain Pot Estado	SO2 Signal Gain Pot	SO2 Signal Gain Pot Estado	Instrument Gain	Instrument Gain Estado	Lamp Current	Lamp Current Estado	High Voltage	High Voltage Estado	Gas Pressure	Gas Pressure Estado	Chassis Temperature	Chassis Temperature Estado	Instrument Status	Instrument Status Estado	Instrument State	Instrument State Estado	Instrument Units	Instrument Units Estado	
15/02/2018	02:00:00	50	3.8496976	49	128	44	81	45	123	56	18.334488	64	35.040283	67	710.83447	72	480.07861	77	39.1875	83	0	110	1	116	4
15/02/2018	02:01:00	50	3.7431946	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	480.04651	77	39.15625	83	0	110	1	116	4
15/02/2018	02:02:00	50	3.5311141	49	128	44	81	45	123	56	18.334488	64	35.028076	67	710.83447	72	480.05853	77	39.125	83	0	110	1	116	4
15/02/2018	02:03:00	50	3.105979	49	128	44	81	45	123	56	18.334488	64	35.03418	67	710.83447	72	480.02405	77	39.25	83	0	110	1	116	4
15/02/2018	02:04:00	50	3.6317568	49	128	44	81	45	123	56	18.334488	64	35.05249	67	710.83447	72	479.99524	77	39.1875	83	0	110	1	116	4
15/02/2018	02:05:00	50	3.314364	49	128	44	81	45	123	56	18.334488	64	35.040283	67	710.83447	72	479.99609	77	39.3125	83	0	110	1	116	4
15/02/2018	02:06:00	50	3.8122735	49	128	44	81	45	123	56	18.334488	64	35.028076	67	710.83447	72	480.01886	77	39.1875	83	0	110	1	116	4
15/02/2018	02:07:00	50	4.0535526	49	128	44	81	45	123	56	18.334488	64	35.046387	67	710.83447	72	480.02258	77	39.34375	83	0	110	1	116	4
15/02/2018	02:08:00	50	4.3113871	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	479.96039	77	38.84375	83	0	110	1	116	4
15/02/2018	02:09:00	50	2.7392201	49	128	44	81	45	123	56	18.334488	64	35.028076	67	710.83447	72	479.98383	77	39.40625	83	0	110	1	116	4
15/02/2018	02:10:00	50	2.7760005	49	128	44	81	45	123	56	18.334488	64	35.037231	67	710.83447	72	479.92804	77	39.40625	83	0	110	1	116	4
15/02/2018	02:11:00	50	2.1148319	49	128	44	81	45	123	56	18.334488	64	35.05249	67	710.83447	72	479.90051	77	38.9375	83	0	110	1	116	4
15/02/2018	02:12:00	50	2.5147376	49	128	44	81	45	123	56	18.334488	64	35.03418	67	710.83447	72	479.91797	77	38.9375	83	0	110	1	116	4
15/02/2018	02:13:00	50	3.3022914	49	128	44	81	45	123	56	18.334488	64	35.028076	67	710.83447	72	479.93402	77	39.28125	83	0	110	1	116	4
15/02/2018	02:14:00	50	2.7280784	49	128	44	81	45	123	56	18.334488	64	35.046387	67	710.83447	72	479.99921	77	38.84375	83	0	110	1	116	4
15/02/2018	02:15:00	50	2.5500317	49	128	44	81	45	123	56	18.334488	64	35.046387	67	710.83447	72	480.02081	77	39.21875	83	0	110	1	116	4
15/02/2018	02:16:00	50	2.1877165	49	128	44	81	45	123	56	18.334488	64	35.021973	67	710.83447	72	479.98993	77	38.875	83	0	110	1	116	4
15/02/2018	02:17:00	50	3.0492787	49	128	44	81	45	123	56	18.334488	64	35.040283	67	710.83447	72	479.96204	77	39.28125	83	0	110	1	116	4
15/02/2018	02:18:00	50	2.5607281	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	479.99536	77	39.25	83	0	110	1	116	4
15/02/2018	02:19:00	50	2.412921	49	128	44	81	45	123	56	18.334488	64	35.028076	67	710.83447	72	479.97778	77	39	83	0	110	1	116	4
15/02/2018	02:20:00	50	2.7552743	49	128	44	81	45	123	56	18.334488	64	35.03418	67	710.83447	72	479.98395	77	39	83	0	110	1	116	4
15/02/2018	02:21:00	50	2.5556488	49	128	44	81	45	123	56	18.334488	64	35.049438	67	710.83447	72	480.0025	77	38.75	83	0	110	1	116	4
15/02/2018	02:22:00	50	1.9841993	49	128	44	81	45	123	56	18.334488	64	34.93042	67	710.83447	72	480.01825	77	39.15625	83	0	110	1	116	4
15/02/2018	02:23:00	50	2.1570573	49	128	44	81	45	123	56	18.334488	64	35.101318	67	710.83447	72	480.0451	77	38.875	83	0	110	1	116	4
